"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U860","2020-02-15 00:00:00","5.000","301.000","0.300","20.400","0.920","1017.000","","0.000","-99.000","-99.000","-99.000","25.400","","20.200",""
"C0C630","2020-02-15 00:00:00","209.000","339.000","0.800","17.300","0.990","994.600","","0.000","-99.000","-99.000","-99.000","25.300","","16.800",""
"C0D550","2020-02-15 00:00:00","1956.000","156.000","1.200","11.100","0.960","814.100","","0.000","-99.000","-99.000","-99.000","18.200","","10.900",""
"C0T9E0","2020-02-15 00:00:00","415.000","0.000","0.200","20.700","0.950","971.500","","4.500","-99.000","-99.000","-99.000","24.500","","17.900",""
"C0U960","2020-02-15 00:00:00","1885.000","246.000","1.700","12.000","0.990","817.800","","0.000","-99.000","-99.000","-99.000","17.400","","7.300",""
"C0R240","2020-02-15 00:00:00","87.000","0.000","0.100","20.900","0.940","1006.000","","0.000","-99.000","-99.000","-99.000","30.000","","17.000",""
"C0AD30","2020-02-15 00:00:00","20.000","277.000","1.700","19.400","0.870","1014.500","","0.000","-99.000","-99.000","-99.000","27.000","","18.900",""
"C0D430","2020-02-15 00:00:00","87.000","0.000","0.000","18.900","0.950","1007.100","","0.000","-99.000","-99.000","-99.000","27.700","","14.800",""
"C0X210","2020-02-15 00:00:00","38.000","8.000","1.300","21.600","0.990","1010.800","","2.500","-99.000","-99.000","-99.000","29.000","","20.200",""
"C0R680","2020-02-15 00:00:00","13.000","328.000","2.000","23.000","0.970","1015.600","","0.500","-99.000","-99.000","-99.000","27.100","","19.800",""
"C0AH10","2020-02-15 00:00:00","30.000","338.000","1.000","19.600","1.000","1014.800","","1.500","-99.000","-99.000","-99.000","27.500","","19.300",""
"C0E880","2020-02-15 00:00:00","507.000","93.000","2.300","18.100","0.990","959.900","","0.000","-99.000","-99.000","-99.000","26.000","","17.600",""
"C0O960","2020-02-15 00:00:00","112.000","90.000","1.000","21.300","0.950","1003.900","","3.000","-99.000","-99.000","-99.000","30.200","","19.500",""
"C0H950","2020-02-15 00:00:00","192.000","0.000","0.000","19.700","0.990","995.600","","0.000","-99.000","-99.000","-99.000","27.900","","16.200",""
"C0SA60","2020-02-15 00:00:00","6.000","220.000","0.900","23.700","0.900","1015.900","","0.000","-99.000","-99.000","-99.000","28.400","","19.000",""
"C0A540","2020-02-15 00:00:00","401.000","0.000","0.000","16.900","1.000","971.900","","0.500","-99.000","-99.000","-99.000","23.900","","15.900",""
"C0C690","2020-02-15 00:00:00","242.000","357.000","1.100","16.500","0.890","990.700","","0.000","-99.000","-99.000","-99.000","23.700","","16.400",""
"C0V370","2020-02-15 00:00:00","74.000","23.000","0.300","21.300","1.000","1008.900","","14.000","-99.000","-99.000","-99.000","30.300","","17.400",""
"C0I110","2020-02-15 00:00:00","161.000","13.000","0.700","21.900","0.860","999.300","","0.000","-99.000","-99.000","-99.000","28.100","","18.300",""
"C0M750","2020-02-15 00:00:00","10.000","27.000","1.100","21.000","0.900","1015.500","","0.000","-99.000","-99.000","-99.000","26.200","","20.600",""
"C0R340","2020-02-15 00:00:00","230.000","27.000","0.700","20.300","1.000","990.500","","-99.000","-99.000","-99.000","-99.000","27.100","","17.200",""
"C0U970","2020-02-15 00:00:00","7.000","0.000","0.100","20.300","0.870","1017.900","","0.000","-99.000","-99.000","-99.000","25.300","","20.100",""
"C0X300","2020-02-15 00:00:00","70.000","0.000","0.000","20.300","0.970","1008.700","","1.000","-99.000","-99.000","-99.000","29.100","","18.200",""
"CM0120","2020-02-15 00:00:00","4.000","51.000","2.100","21.300","0.810","1016.400","","0.000","-99.000","-99.000","-99.000","25.500","","20.600",""
"C0Z290","2020-02-15 00:00:00","946.000","213.000","2.300","17.800","0.990","913.400","","0.000","-99.000","-99.000","-99.000","22.100","","15.900",""
"C0V680","2020-02-15 00:00:00","40.000","12.000","0.800","23.800","0.910","1011.700","","0.000","-99.000","-99.000","-99.000","29.300","","21.200",""
"C0SA10","2020-02-15 00:00:00","411.000","172.000","1.600","21.200","0.940","971.500","","0.000","-99.000","-99.000","-99.000","28.500","","18.800",""
"C0F9U0","2020-02-15 00:00:00","74.000","44.000","1.900","23.100","0.780","1008.500","","0.000","-99.000","-99.000","-99.000","28.500","","20.700",""
"C0AI10","2020-02-15 00:00:00","76.000","193.000","0.300","18.900","0.990","1009.000","","1.000","-99.000","-99.000","-99.000","28.300","","18.000",""
"C0M740","2020-02-15 00:00:00","15.000","52.000","0.500","20.900","0.910","1014.400","","0.000","-99.000","-99.000","-99.000","27.800","","20.400",""
"C0K460","2020-02-15 00:00:00","60.000","47.000","1.300","21.400","0.900","1009.200","","0.000","-99.000","-99.000","-99.000","27.400","","19.600",""
"C0X100","2020-02-15 00:00:00","10.000","56.000","0.900","23.300","0.940","1013.900","","0.500","-99.000","-99.000","-99.000","28.300","","21.600",""
"C0K560","2020-02-15 00:00:00","117.000","255.000","0.600","21.200","0.950","1004.200","","0.500","-99.000","-99.000","-99.000","28.200","","17.800",""
"C0R150","2020-02-15 00:00:00","105.000","61.000","1.100","22.300","0.980","1003.400","","0.000","-99.000","-99.000","-99.000","31.000","","19.800",""
"C0S690","2020-02-15 00:00:00","522.000","240.000","1.200","20.500","0.920","959.000","","0.000","-99.000","-99.000","-99.000","28.000","","18.900",""
"C0U870","2020-02-15 00:00:00","474.000","304.000","0.600","18.200","0.820","964.500","","0.000","-99.000","-99.000","-99.000","22.900","","18.000",""
"C0A520","2020-02-15 00:00:00","48.000","0.000","0.200","19.100","0.960","1013.400","","0.000","-99.000","-99.000","-99.000","27.400","","18.600",""
"C0X130","2020-02-15 00:00:00","27.000","347.000","1.300","21.800","0.940","1013.200","","0.000","-99.000","-99.000","-99.000","29.900","","21.600",""
"C0V400","2020-02-15 00:00:00","56.000","39.000","1.600","22.500","1.000","1009.600","","2.000","-99.000","-99.000","-99.000","29.000","","20.700",""
"C0UA40","2020-02-15 00:00:00","1121.000","34.000","3.400","15.400","0.990","893.600","","0.000","-99.000","-99.000","-99.000","17.100","","14.900",""
"C0G720","2020-02-15 00:00:00","50.000","17.000","0.900","20.500","0.920","1011.100","","0.000","-99.000","-99.000","-99.000","27.600","","19.100",""
"C0G890","2020-02-15 00:00:00","24.000","17.000","4.700","20.300","1.000","1014.200","","0.000","-99.000","-99.000","-99.000","26.900","","19.500",""
